1211260430850573,ITC 30 Apr 26 FUT ,13,1600,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:ITC26APRFUT,12,11,850573,ITC,500875,-1.0,,1210000000500875,,0,0.0
1211260527875942,ITC 27 May 26 FUT ,13,1600,0.05,,0915-1530|1815-1915:,2026-04-27,1779876000,BSE:ITC26MAYFUT,12,11,875942,ITC,500875,-1.0,,1210000000500875,,0,0.0
12112606251102442,ITC 25 Jun 26 FUT ,13,1600,0.05,,0915-1530|1815-1915:,2026-04-27,1782381600,BSE:ITC26JUNFUT,12,11,1102442,ITC,500875,-1.0,,1210000000500875,,0,0.0
1211260430854035,JIOFIN 30 Apr 26 FUT ,13,2350,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:JIOFIN26APRFUT,12,11,854035,JIOFIN,543940,-1.0,,1210000000543940,,0,0.0
1211260527871568,JIOFIN 27 May 26 FUT ,13,2350,0.05,,0915-1530|1815-1915:,2026-04-27,1779876000,BSE:JIOFIN26MAYFUT,12,11,871568,JIOFIN,543940,-1.0,,1210000000543940,,0,0.0
12112606251108073,JIOFIN 25 Jun 26 FUT ,13,2350,0.05,,0915-1530|1815-1915:,2026-04-27,1782381600,BSE:JIOFIN26JUNFUT,12,11,1108073,JIOFIN,543940,-1.0,,1210000000543940,,0,0.0
1211260430848569,JSWSTEEL 30 Apr 26 FUT ,13,675,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:JSWSTEEL26APRFUT,12,11,848569,JSWSTEEL,500228,-1.0,,1210000000500228,,0,0.0
1211260527874141,JSWSTEEL 27 May 26 FUT ,13,675,0.05,,0915-1530|1815-1915:,2026-04-27,1779876000,BSE:JSWSTEEL26MAYFUT,12,11,874141,JSWSTEEL,500228,-1.0,,1210000000500228,,0,0.0
12112606251110346,JSWSTEEL 25 Jun 26 FUT ,13,675,0.05,,0915-1530|1815-1915:,2026-04-27,1782381600,BSE:JSWSTEEL26JUNFUT,12,11,1110346,JSWSTEEL,500228,-1.0,,1210000000500228,,0,0.0
1211260430854916,RELIANCE 30 Apr 26 FUT ,13,500,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:RELIANCE26APRFUT,12,11,854916,RELIANCE,500325,-1.0,,1210000000500325,,0,0.0
1211260527872422,RELIANCE 27 May 26 FUT ,13,500,0.05,,0915-1530|1815-1915:,2026-04-27,1779876000,BSE:RELIANCE26MAYFUT,12,11,872422,RELIANCE,500325,-1.0,,1210000000500325,,0,0.0
12112606251108812,RELIANCE 25 Jun 26 FUT ,13,500,0.05,,0915-1530|1815-1915:,2026-04-27,1782381600,BSE:RELIANCE26JUNFUT,12,11,1108812,RELIANCE,500325,-1.0,,1210000000500325,,0,0.0
1211260430856045,SBIN 30 Apr 26 FUT ,13,750,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:SBIN26APRFUT,12,11,856045,SBIN,500112,-1.0,,1210000000500112,,0,0.0
1211260527873499,SBIN 27 May 26 FUT ,13,750,0.05,,0915-1530|1815-1915:,2026-04-27,1779876000,BSE:SBIN26MAYFUT,12,11,873499,SBIN,500112,-1.0,,1210000000500112,,0,0.0
12112606251109779,SBIN 25 Jun 26 FUT ,13,750,0.05,,0915-1530|1815-1915:,2026-04-27,1782381600,BSE:SBIN26JUNFUT,12,11,1109779,SBIN,500112,-1.0,,1210000000500112,,0,0.0
1211260430853526,TATASTEEL 30 Apr 26 FUT ,13,5500,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:TATASTEEL26APRFUT,12,11,853526,TATASTEEL,500470,-1.0,,1210000000500470,,0,0.0
1211260527871095,TATASTEEL 27 May 26 FUT ,13,5500,0.05,,0915-1530|1815-1915:,2026-04-27,1779876000,BSE:TATASTEEL26MAYFUT,12,11,871095,TATASTEEL,500470,-1.0,,1210000000500470,,0,0.0
12112606251107354,TATASTEEL 25 Jun 26 FUT ,13,5500,0.05,,0915-1530|1815-1915:,2026-04-27,1782381600,BSE:TATASTEEL26JUNFUT,12,11,1107354,TATASTEEL,500470,-1.0,,1210000000500470,,0,0.0
1211260430850579,TCS 30 Apr 26 FUT ,13,175,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:TCS26APRFUT,12,11,850579,TCS,532540,-1.0,,1210000000532540,,0,0.0
1211260527875950,TCS 27 May 26 FUT ,13,175,0.05,,0915-1530|1815-1915:,2026-04-27,1779876000,BSE:TCS26MAYFUT,12,11,875950,TCS,532540,-1.0,,1210000000532540,,0,0.0
12112606251102453,TCS 25 Jun 26 FUT ,13,175,0.05,,0915-1530|1815-1915:,2026-04-27,1782381600,BSE:TCS26JUNFUT,12,11,1102453,TCS,532540,-1.0,,1210000000532540,,0,0.0
1211260430853887,TITAN 30 Apr 26 FUT ,13,175,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:TITAN26APRFUT,12,11,853887,TITAN,500114,-1.0,,1210000000500114,,0,0.0
1211260527871440,TITAN 27 May 26 FUT ,13,175,0.05,,0915-1530|1815-1915:,2026-04-27,1779876000,BSE:TITAN26MAYFUT,12,11,871440,TITAN,500114,-1.0,,1210000000500114,,0,0.0
12112606251107911,TITAN 25 Jun 26 FUT ,13,175,0.05,,0915-1530|1815-1915:,2026-04-27,1782381600,BSE:TITAN26JUNFUT,12,11,1107911,TITAN,500114,-1.0,,1210000000500114,,0,0.0
12112604301100152,BANKEX 30 Apr 26 50900 CE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR50900CE,12,11,1100152,BANKEX,12,50900.0,CE,121000000012,,0,0.0
12112604301100613,BANKEX 30 Apr 26 50900 PE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR50900PE,12,11,1100613,BANKEX,12,50900.0,PE,121000000012,,0,0.0
12112604301117296,BANKEX 30 Apr 26 50100 CE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR50100CE,12,11,1117296,BANKEX,12,50100.0,CE,121000000012,,0,0.0
12112604301117522,BANKEX 30 Apr 26 50400 PE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR50400PE,12,11,1117522,BANKEX,12,50400.0,PE,121000000012,,0,0.0
12112604301117786,BANKEX 30 Apr 26 50300 CE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR50300CE,12,11,1117786,BANKEX,12,50300.0,CE,121000000012,,0,0.0
12112604301118002,BANKEX 30 Apr 26 50600 PE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR50600PE,12,11,1118002,BANKEX,12,50600.0,PE,121000000012,,0,0.0
12112604301118237,BANKEX 30 Apr 26 50500 CE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR50500CE,12,11,1118237,BANKEX,12,50500.0,CE,121000000012,,0,0.0
12112604301118369,BANKEX 30 Apr 26 49800 CE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR49800CE,12,11,1118369,BANKEX,12,49800.0,CE,121000000012,,0,0.0
12112604301118595,BANKEX 30 Apr 26 50700 CE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR50700CE,12,11,1118595,BANKEX,12,50700.0,CE,121000000012,,0,0.0
12112604301118658,BANKEX 30 Apr 26 50100 PE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR50100PE,12,11,1118658,BANKEX,12,50100.0,PE,121000000012,,0,0.0
12112604301118765,BANKEX 30 Apr 26 50000 CE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR50000CE,12,11,1118765,BANKEX,12,50000.0,CE,121000000012,,0,0.0
12112604301118863,BANKEX 30 Apr 26 50300 PE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR50300PE,12,11,1118863,BANKEX,12,50300.0,PE,121000000012,,0,0.0
12112604301118942,BANKEX 30 Apr 26 49600 PE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR49600PE,12,11,1118942,BANKEX,12,49600.0,PE,121000000012,,0,0.0
12112604301118972,BANKEX 30 Apr 26 50200 CE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR50200CE,12,11,1118972,BANKEX,12,50200.0,CE,121000000012,,0,0.0
12112604301119067,BANKEX 30 Apr 26 50500 PE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR50500PE,12,11,1119067,BANKEX,12,50500.0,PE,121000000012,,0,0.0
12112604301119159,BANKEX 30 Apr 26 49800 PE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR49800PE,12,11,1119159,BANKEX,12,49800.0,PE,121000000012,,0,0.0
12112604301119196,BANKEX 30 Apr 26 50400 CE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR50400CE,12,11,1119196,BANKEX,12,50400.0,CE,121000000012,,0,0.0
12112604301119290,BANKEX 30 Apr 26 49700 CE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR49700CE,12,11,1119290,BANKEX,12,49700.0,CE,121000000012,,0,0.0
12112604301119330,BANKEX 30 Apr 26 50700 PE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR50700PE,12,11,1119330,BANKEX,12,50700.0,PE,121000000012,,0,0.0
12112604301119562,BANKEX 30 Apr 26 49900 CE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR49900CE,12,11,1119562,BANKEX,12,49900.0,CE,121000000012,,0,0.0
12112604301119565,BANKEX 30 Apr 26 50000 PE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR50000PE,12,11,1119565,BANKEX,12,50000.0,PE,121000000012,,0,0.0
12112604301119860,BANKEX 30 Apr 26 50200 PE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR50200PE,12,11,1119860,BANKEX,12,50200.0,PE,121000000012,,0,0.0
12112604301120218,BANKEX 30 Apr 26 49700 PE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR49700PE,12,11,1120218,BANKEX,12,49700.0,PE,121000000012,,0,0.0
12112604301120346,BANKEX 30 Apr 26 49600 CE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR49600CE,12,11,1120346,BANKEX,12,49600.0,CE,121000000012,,0,0.0
12112604301120477,BANKEX 30 Apr 26 49900 PE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR49900PE,12,11,1120477,BANKEX,12,49900.0,PE,121000000012,,0,0.0
12112604301121261,BANKEX 30 Apr 26 50600 CE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR50600CE,12,11,1121261,BANKEX,12,50600.0,CE,121000000012,,0,0.0
1211260430848519,BANKEX 30 Apr 26 58200 CE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR58200CE,12,11,848519,BANKEX,12,58200.0,CE,121000000012,,0,0.0
1211260430848528,BANKEX 30 Apr 26 65200 PE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR65200PE,12,11,848528,BANKEX,12,65200.0,PE,121000000012,,0,0.0
1211260430848533,BANKEX 30 Apr 26 67500 PE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR67500PE,12,11,848533,BANKEX,12,67500.0,PE,121000000012,,0,0.0
1211260430848540,BANKEX 30 Apr 26 69800 PE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR69800PE,12,11,848540,BANKEX,12,69800.0,PE,121000000012,,0,0.0
1211260430848583,BANKEX 30 Apr 26 61500 PE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR61500PE,12,11,848583,BANKEX,12,61500.0,PE,121000000012,,0,0.0
1211260430848587,BANKEX 30 Apr 26 63800 PE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR63800PE,12,11,848587,BANKEX,12,63800.0,PE,121000000012,,0,0.0
1211260430848590,BANKEX 30 Apr 26 68200 CE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR68200CE,12,11,848590,BANKEX,12,68200.0,CE,121000000012,,0,0.0
1211260430848608,BANKEX 30 Apr 26 75200 PE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR75200PE,12,11,848608,BANKEX,12,75200.0,PE,121000000012,,0,0.0
1211260430848639,BANKEX 30 Apr 26 64500 CE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR64500CE,12,11,848639,BANKEX,12,64500.0,CE,121000000012,,0,0.0
1211260430848643,BANKEX 30 Apr 26 66800 CE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR66800CE,12,11,848643,BANKEX,12,66800.0,CE,121000000012,,0,0.0
1211260430848658,BANKEX 30 Apr 26 71500 PE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR71500PE,12,11,848658,BANKEX,12,71500.0,PE,121000000012,,0,0.0
1211260430848662,BANKEX 30 Apr 26 73800 PE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR73800PE,12,11,848662,BANKEX,12,73800.0,PE,121000000012,,0,0.0
1211260430848693,BANKEX 30 Apr 26 60800 CE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR60800CE,12,11,848693,BANKEX,12,60800.0,CE,121000000012,,0,0.0
1211260430848720,BANKEX 30 Apr 26 76800 CE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR76800CE,12,11,848720,BANKEX,12,76800.0,CE,121000000012,,0,0.0
1211260430848768,BANKEX 30 Apr 26 58500 PE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR58500PE,12,11,848768,BANKEX,12,58500.0,PE,121000000012,,0,0.0
1211260430848830,BANKEX 30 Apr 26 65100 CE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR65100CE,12,11,848830,BANKEX,12,65100.0,CE,121000000012,,0,0.0
1211260430848856,BANKEX 30 Apr 26 68500 PE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR68500PE,12,11,848856,BANKEX,12,68500.0,PE,121000000012,,0,0.0
1211260430848882,BANKEX 30 Apr 26 61400 CE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR61400CE,12,11,848882,BANKEX,12,61400.0,CE,121000000012,,0,0.0
1211260430848907,BANKEX 30 Apr 26 64800 PE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR64800PE,12,11,848907,BANKEX,12,64800.0,PE,121000000012,,0,0.0
1211260430848908,BANKEX 30 Apr 26 75100 CE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR75100CE,12,11,848908,BANKEX,12,75100.0,CE,121000000012,,0,0.0
1211260430848947,BANKEX 30 Apr 26 71400 CE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR71400CE,12,11,848947,BANKEX,12,71400.0,CE,121000000012,,0,0.0
1211260430848951,BANKEX 30 Apr 26 73700 CE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR73700CE,12,11,848951,BANKEX,12,73700.0,CE,121000000012,,0,0.0
1211260430849016,BANKEX 30 Apr 26 69100 PE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR69100PE,12,11,849016,BANKEX,12,69100.0,PE,121000000012,,0,0.0
1211260430849050,BANKEX 30 Apr 26 58400 CE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR58400CE,12,11,849050,BANKEX,12,58400.0,CE,121000000012,,0,0.0
1211260430849065,BANKEX 30 Apr 26 63100 PE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR63100PE,12,11,849065,BANKEX,12,63100.0,PE,121000000012,,0,0.0
1211260430849069,BANKEX 30 Apr 26 65400 PE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR65400PE,12,11,849069,BANKEX,12,65400.0,PE,121000000012,,0,0.0
1211260430849075,BANKEX 30 Apr 26 67700 PE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR67700PE,12,11,849075,BANKEX,12,67700.0,PE,121000000012,,0,0.0
1211260430849116,BANKEX 30 Apr 26 61700 PE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR61700PE,12,11,849116,BANKEX,12,61700.0,PE,121000000012,,0,0.0
1211260430849119,BANKEX 30 Apr 26 66100 CE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR66100CE,12,11,849119,BANKEX,12,66100.0,CE,121000000012,,0,0.0
1211260430849127,BANKEX 30 Apr 26 68400 CE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR68400CE,12,11,849127,BANKEX,12,68400.0,CE,121000000012,,0,0.0
1211260430849133,BANKEX 30 Apr 26 73100 PE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR73100PE,12,11,849133,BANKEX,12,73100.0,PE,121000000012,,0,0.0
1211260430849136,BANKEX 30 Apr 26 75400 PE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR75400PE,12,11,849136,BANKEX,12,75400.0,PE,121000000012,,0,0.0
1211260430849153,BANKEX 30 Apr 26 62400 CE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR62400CE,12,11,849153,BANKEX,12,62400.0,CE,121000000012,,0,0.0
1211260430849157,BANKEX 30 Apr 26 64700 CE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR64700CE,12,11,849157,BANKEX,12,64700.0,CE,121000000012,,0,0.0
1211260430849176,BANKEX 30 Apr 26 71700 PE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR71700PE,12,11,849176,BANKEX,12,71700.0,PE,121000000012,,0,0.0
1211260430849232,BANKEX 30 Apr 26 74700 CE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR74700CE,12,11,849232,BANKEX,12,74700.0,CE,121000000012,,0,0.0
1211260430849280,BANKEX 30 Apr 26 58700 PE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR58700PE,12,11,849280,BANKEX,12,58700.0,PE,121000000012,,0,0.0
1211260430849317,BANKEX 30 Apr 26 63000 CE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR63000CE,12,11,849317,BANKEX,12,63000.0,CE,121000000012,,0,0.0
1211260430849341,BANKEX 30 Apr 26 66400 PE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR66400PE,12,11,849341,BANKEX,12,66400.0,PE,121000000012,,0,0.0
1211260430849343,BANKEX 30 Apr 26 68700 PE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR68700PE,12,11,849343,BANKEX,12,68700.0,PE,121000000012,,0,0.0
1211260430849390,BANKEX 30 Apr 26 62700 PE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR62700PE,12,11,849390,BANKEX,12,62700.0,PE,121000000012,,0,0.0
1211260430849391,BANKEX 30 Apr 26 73000 CE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR73000CE,12,11,849391,BANKEX,12,73000.0,CE,121000000012,,0,0.0
1211260430849396,BANKEX 30 Apr 26 75300 CE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR75300CE,12,11,849396,BANKEX,12,75300.0,CE,121000000012,,0,0.0
1211260430849455,BANKEX 30 Apr 26 71600 CE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR71600CE,12,11,849455,BANKEX,12,71600.0,CE,121000000012,,0,0.0
1211260430849517,BANKEX 30 Apr 26 67000 PE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR67000PE,12,11,849517,BANKEX,12,67000.0,PE,121000000012,,0,0.0
1211260430849549,BANKEX 30 Apr 26 58600 CE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR58600CE,12,11,849549,BANKEX,12,58600.0,CE,121000000012,,0,0.0
1211260430849557,BANKEX 30 Apr 26 61000 PE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR61000PE,12,11,849557,BANKEX,12,61000.0,PE,121000000012,,0,0.0
1211260430849559,BANKEX 30 Apr 26 63300 PE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR63300PE,12,11,849559,BANKEX,12,63300.0,PE,121000000012,,0,0.0
1211260430849587,BANKEX 30 Apr 26 77000 PE,14,30,0.05,,0915-1530|1815-1915:,2026-04-27,1777543200,BSE:BANKEX26APR77000PE,12,11,849587,BANKEX,12,77000.0,PE,121000000012,,0,0.0
